code_entree;gare_entree;code_sortie;gare_sortie;distance_km;tarif_classe_1;tarif_classe_2;tarif_classe_3;tarif_classe_4;tarif_classe_5
15018;ST MARTIN BELLEVUE A41 N;3001;ST QUENTIN FAL. BARRIERE;159.0;26.6;43.7;63.6;81.6;13.6
15018;ST MARTIN BELLEVUE A41 N;3002;ST QUENTIN FAL. BRETELLE;138.0;23.8;39.1;57.9;75.4;12.2
15018;ST MARTIN BELLEVUE A41 N;3003;ISLE D'ABEAU CENTRE;128.0;22.3;36.4;53.8;69.1;11.2
15018;ST MARTIN BELLEVUE A41 N;3004;BOURGOIN;122.0;21.4;35.1;51.0;67.1;11.0
15018;ST MARTIN BELLEVUE A41 N;3005;LA TOUR DU PIN;113.0;20.0;33.8;49.5;62.9;10.3
15018;ST MARTIN BELLEVUE A41 N;3006;LES ABRETS;98.0;19.0;31.9;45.9;60.1;9.7
15018;ST MARTIN BELLEVUE A41 N;3007;AIGUEBELETTE;81.0;16.6;27.7;40.5;51.7;8.8
15018;ST MARTIN BELLEVUE A41 N;3008;CHAMBERY NORD;71.0;15.0;25.8;37.5;47.9;7.7
15018;ST MARTIN BELLEVUE A41 N;3009;AIX SUD;64.0;13.3;22.8;33.3;43.0;7.1
15018;ST MARTIN BELLEVUE A41 N;3010;AIX NORD;57.0;12.7;22.0;32.0;41.0;6.6
15018;ST MARTIN BELLEVUE A41 N;3011;RUMILLY;44.0;11.4;20.1;29.8;37.2;5.9
15018;ST MARTIN BELLEVUE A41 N;3012;ANNECY CENTRE;31.0;10.0;17.7;26.9;32.8;5.3
15018;ST MARTIN BELLEVUE A41 N;3013;ANNECY NORD;26.0;9.2;16.7;24.9;31.1;5.0
15018;ST MARTIN BELLEVUE A41 N;3020;SEYNOD SUD;37.0;10.4;18.8;27.5;34.9;5.5
15018;ST MARTIN BELLEVUE A41 N;3061;SAINT GENIX SUR GUIERS;94.0;18.6;30.6;43.8;58.0;9.3
15018;ST MARTIN BELLEVUE A41 N;3062;VILLEFONTAINE;134.0;23.0;37.9;55.4;72.6;11.7
15018;ST MARTIN BELLEVUE A41 N;3083;MOIRANS NORD;158.0;23.7;39.4;56.9;73.4;12.1
15018;ST MARTIN BELLEVUE A41 N;3085;RIVES;143.0;22.4;36.9;53.5;69.8;11.3
15018;ST MARTIN BELLEVUE A41 N;3086;VOIRON;154.0;23.1;38.4;55.6;71.9;11.9
15018;ST MARTIN BELLEVUE A41 N;3087;VOREPPE BARRIERE;178.0;26.2;42.8;61.3;79.3;13.7
15018;ST MARTIN BELLEVUE A41 N;3091;CHATUZANGE BARRIERE;224.0;33.5;54.0;77.0;100.1;17.4
15018;ST MARTIN BELLEVUE A41 N;3092;LA BAUME D'HOSTUN;208.0;29.4;48.6;69.8;91.7;15.3
15018;ST MARTIN BELLEVUE A41 N;3093;SAINT MARCELLIN;195.0;28.0;45.7;66.0;86.0;14.5
15018;ST MARTIN BELLEVUE A41 N;3094;VINAY;185.0;26.6;43.6;63.0;81.7;13.8
15018;ST MARTIN BELLEVUE A41 N;3095;TULLINS;171.0;25.2;41.2;59.6;77.1;12.9
2050;ST PIERRE BELLEVILLE;3021;CROLLES BARRIERE;74.85;10.0;15.6;23.9;32.3;5.5
2050;ST PIERRE BELLEVILLE;3022;CROLLES BRIGNOUD;61.85;9.3;14.3;19.4;25.9;5.1
2050;ST PIERRE BELLEVILLE;3023;LE TOUVET;50.85;6.6;10.6;17.1;21.6;3.6
2050;ST PIERRE BELLEVILLE;3024;PONTCHARRA;41.85;6.2;9.4;14.8;19.1;3.2
2050;ST PIERRE BELLEVILLE;3025;CHIGNIN LES MARCHES;38.85;4.9;7.8;12.8;16.7;2.9
2050;ST PIERRE BELLEVILLE;3026;CHIGNIN BARRIERE;44.85;6.3;10.0;17.0;22.0;3.4
2050;ST PIERRE BELLEVILLE;3031;MONTMELIAN;31.85;4.3;6.6;11.0;14.0;2.5
2050;ST PIERRE BELLEVILLE;3033;AITON;13.85;2.1;3.3;6.3;7.5;1.4
2050;ST PIERRE BELLEVILLE;3034;STE HELENE BARRIERE;30.85;4.0;6.5;11.3;13.9;2.5
2051;STE MARIE DE CUINES;3021;CROLLES BARRIERE;90.33;12.8;19.3;30.9;41.3;6.9
2051;STE MARIE DE CUINES;3022;CROLLES BRIGNOUD;77.33;12.1;18.0;26.4;34.9;6.5
2051;STE MARIE DE CUINES;3023;LE TOUVET;66.33;9.4;14.3;24.1;30.6;5.0
2051;STE MARIE DE CUINES;3024;PONTCHARRA;57.33;9.0;13.1;21.8;28.1;4.6
2051;STE MARIE DE CUINES;3025;CHIGNIN LES MARCHES;54.33;7.7;11.5;19.8;25.7;4.3
2051;STE MARIE DE CUINES;3026;CHIGNIN BARRIERE;60.33;9.1;13.7;24.0;31.0;4.8
2051;STE MARIE DE CUINES;3031;MONTMELIAN;47.33;7.1;10.3;18.0;23.0;3.9
2051;STE MARIE DE CUINES;3033;AITON;29.33;4.9;7.0;13.3;16.5;2.8
2051;STE MARIE DE CUINES;3034;STE HELENE BARRIERE;46.33;6.8;10.2;18.3;22.9;3.9
2052;HERMILLON;3021;CROLLES BARRIERE;97.23;13.7;20.8;33.9;45.6;7.4
2052;HERMILLON;3022;CROLLES BRIGNOUD;84.23;13.0;19.5;29.4;39.2;7.0
2052;HERMILLON;3023;LE TOUVET;73.23;10.3;15.8;27.1;34.9;5.5
2052;HERMILLON;3024;PONTCHARRA;64.23;9.9;14.6;24.8;32.4;5.1
2052;HERMILLON;3025;CHIGNIN LES MARCHES;61.23;8.6;13.0;22.8;30.0;4.8
2052;HERMILLON;3026;CHIGNIN BARRIERE;67.23;10.0;15.2;27.0;35.3;5.3
2052;HERMILLON;3031;MONTMELIAN;54.23;8.0;11.8;21.0;27.3;4.4
2052;HERMILLON;3033;AITON;36.23;5.8;8.5;16.3;20.8;3.3
2052;HERMILLON;3034;STE HELENE BARRIERE;53.23;7.7;11.7;21.3;27.2;4.4
2054;ST MICHEL MAURIENNE ECH;3021;CROLLES BARRIERE;110.43;16.0;24.1;39.8;54.0;8.8
2054;ST MICHEL MAURIENNE ECH;3022;CROLLES BRIGNOUD;97.43;15.3;22.8;35.3;47.6;8.4
2054;ST MICHEL MAURIENNE ECH;3023;LE TOUVET;86.43;12.6;19.1;33.0;43.3;6.9
2054;ST MICHEL MAURIENNE ECH;3024;PONTCHARRA;77.43;12.2;17.9;30.7;40.8;6.5
2054;ST MICHEL MAURIENNE ECH;3025;CHIGNIN LES MARCHES;74.43;10.9;16.3;28.7;38.4;6.2
2054;ST MICHEL MAURIENNE ECH;3026;CHIGNIN BARRIERE;80.43;12.3;18.5;32.9;43.7;6.7
2054;ST MICHEL MAURIENNE ECH;3031;MONTMELIAN;67.43;10.3;15.1;26.9;35.7;5.8
2054;ST MICHEL MAURIENNE ECH;3033;AITON;49.43;8.1;11.8;22.2;29.2;4.7
2054;ST MICHEL MAURIENNE ECH;3034;STE HELENE BARRIERE;66.43;10.0;15.0;27.2;35.6;5.8
2056;ST MICHEL MAURIENNE BAR;3021;CROLLES BARRIERE;124.36;18.1;27.2;49.2;66.3;10.4
2056;ST MICHEL MAURIENNE BAR;3022;CROLLES BRIGNOUD;111.36;17.4;25.9;44.7;59.9;10.0
2056;ST MICHEL MAURIENNE BAR;3023;LE TOUVET;100.36;14.7;22.2;42.4;55.6;8.5
2056;ST MICHEL MAURIENNE BAR;3024;PONTCHARRA;91.36;14.3;21.0;40.1;53.1;8.1
2056;ST MICHEL MAURIENNE BAR;3025;CHIGNIN LES MARCHES;88.36;13.0;19.4;38.1;50.7;7.8
2056;ST MICHEL MAURIENNE BAR;3026;CHIGNIN BARRIERE;94.36;14.4;21.6;42.3;56.0;8.3
2056;ST MICHEL MAURIENNE BAR;3031;MONTMELIAN;81.36;12.4;18.2;36.3;48.0;7.4
2056;ST MICHEL MAURIENNE BAR;3033;AITON;63.36;10.2;14.9;31.6;41.5;6.3
2056;ST MICHEL MAURIENNE BAR;3034;STE HELENE BARRIERE;80.36;12.1;18.1;36.6;47.9;7.4
3001;ST QUENTIN FAL. BARRIERE;15018;ST MARTIN BELLEVUE A41 N;159.0;26.6;43.7;63.6;81.6;13.6
3001;ST QUENTIN FAL. BARRIERE;3003;ISLE D'ABEAU CENTRE;31.0;3.7;6.0;8.3;11.3;1.8
